IN_6_3-x:IN_7_3-y,01-01-1970 03:17:24,01-01-1970 03:18:24,HL*IN_7_0:IN_7_3-y,01-01-1970 03:17:31,01-01-1970 03:18:27,BL
IN_6_3-x:IN_7_3-y,01-01-1970 04:22:24,01-01-1970 04:23:24,HL*IN_7_3-y:y-S1_0,01-01-1970 04:22:35,01-01-1970 04:23:35,HL
IN_6_3-x:IN_7_3-y,01-01-1970 04:22:24,01-01-1970 04:23:24,HL*IN_7_0:IN_7_3-y,01-01-1970 04:22:38,01-01-1970 04:23:20,BL
IN_6_3-x:IN_7_3-y,01-01-1970 04:35:24,01-01-1970 04:36:24,HL*IN_7_3-y:y-S1_0,01-01-1970 04:35:35,01-01-1970 04:36:35,HL
IN_6_3-x:IN_7_3-y,01-01-1970 04:45:24,01-01-1970 04:46:24,HL*IN_7_3-y:y-S1_0,01-01-1970 04:45:35,01-01-1970 04:46:35,HL
IN_6_3-x:IN_7_3-y,01-01-1970 04:45:24,01-01-1970 04:46:24,HL*IN_7_0:IN_7_3-y,01-01-1970 04:46:06,01-01-1970 04:46:40,BL
IN_6_3-x:IN_7_3-y,01-01-1970 04:45:24,01-01-1970 04:46:24,HL*IN_6_0:IN_6_3-x,01-01-1970 04:45:39,01-01-1970 04:46:26,BL
IN_6_3-x:IN_7_3-y,01-01-1970 05:31:24,01-01-1970 05:32:24,HL*IN_7_3-y:y-S1_0,01-01-1970 05:31:35,01-01-1970 05:32:35,HL
IN_6_3-x:IN_7_3-y,01-01-1970 10:13:24,01-01-1970 10:14:24,HL*IN_7_0:IN_7_3-y,01-01-1970 10:14:10,01-01-1970 10:14:52,BL
IN_6_3-x:IN_7_3-y,01-01-1970 10:13:24,01-01-1970 10:14:24,HL*IN_7_0:IN_7_3-y,01-01-1970 10:13:38,01-01-1970 10:14:15,BL
IN_6_3-x:IN_7_3-y,01-01-1970 10:13:24,01-01-1970 10:14:24,HL*IN_6_0:IN_6_3-x,01-01-1970 10:13:33,01-01-1970 10:15:33,HL
IN_6_3-x:IN_7_3-y,01-01-1970 10:28:24,01-01-1970 10:29:24,HL*IN_7_0:IN_7_3-y,01-01-1970 10:28:43,01-01-1970 10:29:50,BL
IN_6_3-x:IN_7_3-y,01-01-1970 10:28:24,01-01-1970 10:29:24,HL*IN_6_0:IN_6_3-x,01-01-1970 10:28:43,01-01-1970 10:29:34,BL
IN_7_3-y:y-S1_0,01-01-1970 01:13:35,01-01-1970 01:14:35,HL*y-S1_0:y-S2_0,01-01-1970 01:14:31,01-01-1970 01:15:31,HL
IN_7_3-y:y-S1_0,01-01-1970 01:13:35,01-01-1970 01:14:35,HL*IN_7_0:IN_7_3-y,01-01-1970 01:13:36,01-01-1970 01:14:32,BL
IN_7_3-y:y-S1_0,01-01-1970 01:19:35,01-01-1970 01:20:35,HL*y-S1_0:z-x,01-01-1970 01:20:28,01-01-1970 01:21:28,HL
IN_7_3-y:y-S1_0,01-01-1970 01:19:35,01-01-1970 01:20:35,HL*y-S1_0:y-S2_0,01-01-1970 01:20:31,01-01-1970 01:21:31,HL
IN_7_3-y:y-S1_0,01-01-1970 01:19:35,01-01-1970 01:20:35,HL*IN_7_0:IN_7_3-y,01-01-1970 01:20:00,01-01-1970 01:20:55,BL
IN_7_3-y:y-S1_0,01-01-1970 01:28:35,01-01-1970 01:29:35,HL*IN_7_0:IN_7_3-y,01-01-1970 01:28:51,01-01-1970 01:29:50,BL
IN_7_3-y:y-S1_0,01-01-1970 01:28:35,01-01-1970 01:29:35,HL*IN_7_0:IN_7_3-y,01-01-1970 01:29:18,01-01-1970 01:29:52,BL
IN_7_3-y:y-S1_0,01-01-1970 03:10:35,01-01-1970 03:12:35,HL*IN_7_0:IN_7_3-y,01-01-1970 03:11:45,01-01-1970 03:12:28,BL
IN_7_3-y:y-S1_0,01-01-1970 03:10:35,01-01-1970 03:12:35,HL*IN_7_0:IN_7_3-y,01-01-1970 03:10:39,01-01-1970 03:11:31,BL
IN_7_3-y:y-S1_0,01-01-1970 03:17:35,01-01-1970 03:18:35,HL*y-S1_0:y-S2_0,01-01-1970 03:18:31,01-01-1970 03:19:31,HL
IN_7_3-y:y-S1_0,01-01-1970 04:22:35,01-01-1970 04:23:35,HL*IN_7_0:IN_7_3-y,01-01-1970 04:22:38,01-01-1970 04:23:20,BL
IN_7_3-y:y-S1_0,01-01-1970 04:45:35,01-01-1970 04:46:35,HL*IN_7_0:IN_7_3-y,01-01-1970 04:46:06,01-01-1970 04:46:40,BL
IN_7_3-y:y-S1_0,01-01-1970 10:12:35,01-01-1970 10:14:35,HL*IN_6_3-x:IN_7_3-y,01-01-1970 10:13:24,01-01-1970 10:14:24,HL
IN_7_3-y:y-S1_0,01-01-1970 10:12:35,01-01-1970 10:14:35,HL*y-S1_0:y-S2_0,01-01-1970 10:13:31,01-01-1970 10:14:31,HL
IN_7_3-y:y-S1_0,01-01-1970 10:12:35,01-01-1970 10:14:35,HL*IN_7_0:IN_7_3-y,01-01-1970 10:14:10,01-01-1970 10:14:52,BL
