"1473",IN_7_0:IN_7_3-y,7142000,26000
"5529",IN_6_0:IN_6_3-x,27049900,27200
"5529",IN_6_3-x:IN_7_3-y,27077100,11500
"5529",IN_7_3-y:y-S1_0,27088600,52900
"5529",y-S1_0:z-x,27141500,98400
"5529",z-x:IN_1_3-x,27239900,8800
"5529",IN_1_3-x:IN_2_3-x,27248700,2200
"5529",IN_2_3-x:IN_3_3-x,27250900,3000
"5529",IN_3_3-x:IN_4_3-x,27253900,2200
"5529",IN_4_3-x:IN_5_3-x,27256100,56300
"5529",IN_5_3-x:IN_6_3-x,27312400,7500
"5529",IN_6_3-x:IN_7_3-y,27319900,11600
"5529",IN_7_3-y:y-S1_0,27331500,52900
"5529",y-S1_0:y-S2_0,27384400,1300
"5529",y-S2_0:y-S3_0,27385700,1300
"9220",IN_6_0:IN_6_3-x,45085700,33100
"9220",IN_6_3-x:IN_7_3-y,45118800,11500
"9220",IN_7_3-y:y-S1_0,45130300,52900
"8155",IN_4_0:IN_4_3-x,39929800,30500
"8155",IN_4_3-x:IN_5_3-x,39960300,56200
"8155",IN_5_3-x:IN_6_3-x,40016500,7500
"8155",IN_6_3-x:IN_7_3-y,40024000,11600
"8288",IN_4_0:IN_4_3-x,40611200,28400
"8288",IN_4_3-x:IN_5_3-x,40639600,56200
"8288",IN_5_3-x:IN_6_3-x,40695800,7500
"8288",IN_6_3-x:IN_7_3-y,40703300,11600
"8288",IN_7_3-y:y-S1_0,40714900,52900
"8288",y-S1_0:y-S2_0,40767800,1300
"8288",y-S2_0:z-x,40769100,102700
"8288",z-x:IN_1_3-x,40871800,8800
"8288",IN_1_3-x:IN_2_3-x,40880600,2200
"8288",IN_2_3-x:IN_3_3-x,40882800,3000
"8288",IN_3_3-x:IN_4_3-x,40885800,2200
"8288",IN_4_3-x:IN_5_3-x,40888000,56300
"8288",IN_5_3-x:IN_6_3-x,40944300,7500
"8288",IN_6_3-x:IN_7_3-y,40951800,11600
"8288",IN_7_3-y:y-S1_0,40963400,52900
"8288",y-S1_0:y-S2_0,41016300,1300
"8288",y-S2_0:y-S3_0,41017600,1300
